date,symbol,high,low,open,close
2023-12-30,GOLDBLN,2074.59,2057.0,2072.9,2065.45
2023-12-31,GOLDBLN,2074.59,2057.0,2072.9,2065.45
2024-01-01,GOLDBLN,2074.59,2057.0,2072.9,2065.45
2024-01-02,GOLDBLN,2078.69,2055.79,2074.22,2066.55
2024-01-03,GOLDBLN,2065.89,2031.23,2064.5,2033.85
2024-01-04,GOLDBLN,2050.79,2036.09,2047.35,2045.2
2024-01-05,GOLDBLN,2063.79,2036.0,2042.6,2056.05
2024-01-06,GOLDBLN,2063.79,2036.0,2042.6,2056.05
2024-01-07,GOLDBLN,2063.79,2036.0,2042.6,2056.05
2024-01-08,GOLDBLN,2046.49,2016.69,2033.1,2036.45
2024-01-09,GOLDBLN,2041.69,2025.93,2033.15,2027.45
2024-01-10,GOLDBLN,2039.99,2022.7,2024.65,2026.15
2024-01-11,GOLDBLN,2039.49,2023.09,2034.0,2025.5
2024-01-12,GOLDBLN,2062.19,2027.59,2035.3,2052.7
2024-01-13,GOLDBLN,2062.19,2027.59,2035.3,2052.7
2024-01-14,GOLDBLN,2062.19,2027.59,2035.3,2052.7
2024-01-15,GOLDBLN,2058.49,2045.49,2055.38,2053.74
2024-01-16,GOLDBLN,2055.23,2030.1,2050.54,2035.8
2024-01-17,GOLDBLN,2032.89,2006.06,2019.38,2010.2
2024-01-18,GOLDBLN,2017.19,2005.02,2012.8,2014.45
2024-01-19,GOLDBLN,2039.09,2020.13,2024.0,2027.25
2024-01-20,GOLDBLN,2039.09,2020.13,2024.0,2027.25
2024-01-21,GOLDBLN,2039.09,2020.13,2024.0,2027.25
2024-01-22,GOLDBLN,2032.09,2016.59,2020.95,2021.91
2024-01-23,GOLDBLN,2037.79,2019.38,2035.2,2026.23
2024-01-24,GOLDBLN,2036.59,2011.77,2026.08,2013.6
2024-01-25,GOLDBLN,2025.09,2009.79,2015.89,2019.8
2024-01-26,GOLDBLN,2026.39,2015.74,2021.65,2016.55
2024-01-27,GOLDBLN,2026.39,2015.74,2021.65,2016.55
2024-01-28,GOLDBLN,2026.39,2015.74,2021.65,2016.55
2024-01-29,GOLDBLN,2036.9,2016.25,2028.9,2025.53
2024-01-30,GOLDBLN,2048.12,2028.85,2034.55,2033.38
2024-01-31,GOLDBLN,2055.89,2032.3,2034.35,2048.35
2024-02-01,GOLDBLN,2059.79,2028.8,2043.65,2059.85
2024-02-02,GOLDBLN,2057.49,2026.8,2055.3,2035.4
2024-02-03,GOLDBLN,2057.49,2026.8,2055.3,2035.4
2024-02-04,GOLDBLN,2057.49,2026.8,2055.3,2035.4
2024-02-05,GOLDBLN,2041.99,2013.7,2030.9,2019.55
2024-02-06,GOLDBLN,2038.09,2022.0,2026.75,2036.72
2024-02-07,GOLDBLN,2044.49,2030.39,2033.65,2040.9
2024-02-08,GOLDBLN,2038.49,2019.1,2033.37,2030.71
2024-02-09,GOLDBLN,2037.09,2020.1,2033.95,2021.35
2024-02-10,GOLDBLN,2037.09,2020.1,2033.95,2021.35
2024-02-11,GOLDBLN,2037.09,2020.1,2033.95,2021.35
2024-02-12,GOLDBLN,2027.49,2011.72,2024.35,2013.85
2024-02-13,GOLDBLN,2029.69,1989.98,2023.75,1994.81
2024-02-14,GOLDBLN,1994.03,1984.09,1992.32,1989.3
2024-02-15,GOLDBLN,2008.09,1990.0,1993.28,2000.55
2024-02-16,GOLDBLN,2010.69,1995.11,2003.86,2010.1
2024-02-17,GOLDBLN,2010.69,1995.11,2003.86,2010.1
2024-02-18,GOLDBLN,2010.69,1995.11,2003.86,2010.1
2024-02-19,GOLDBLN,2022.79,2011.19,2021.5,2014.8
2024-02-20,GOLDBLN,2030.79,2014.84,2019.55,2026.66
2024-02-21,GOLDBLN,2031.99,2022.74,2030.05,2024.55
2024-02-22,GOLDBLN,2034.69,2020.09,2029.29,2022.87
2024-02-23,GOLDBLN,2034.09,2014.7,2020.95,2033.4
2024-02-24,GOLDBLN,2034.09,2014.7,2020.95,2033.4
2024-02-25,GOLDBLN,2034.09,2014.7,2020.95,2033.4
2024-02-26,GOLDBLN,2036.79,2024.91,2032.8,2027.45
2024-02-27,GOLDBLN,2039.29,2029.49,2033.6,2032.7
2024-02-28,GOLDBLN,2037.79,2024.32,2029.35,2032.4
2024-02-29,GOLDBLN,2050.59,2027.2,2036.92,2045.45
2024-03-01,GOLDBLN,2074.09,2037.8,2046.75,2073.6
2024-03-02,GOLDBLN,2074.09,2037.8,2046.75,2073.6
2024-03-03,GOLDBLN,2074.09,2037.8,2046.75,2073.6
2024-03-04,GOLDBLN,2115.89,2079.2,2083.6,2115.55
2024-03-05,GOLDBLN,2141.59,2110.35,2117.4,2127.1
2024-03-06,GOLDBLN,2148.99,2123.4,2127.35,2145.9
2024-03-07,GOLDBLN,2164.09,2144.08,2155.5,2151.75
2024-03-08,GOLDBLN,2185.19,2153.86,2161.2,2173.25
2024-03-09,GOLDBLN,2185.19,2153.86,2161.2,2173.25
2024-03-10,GOLDBLN,2185.19,2153.86,2161.2,2173.25
2024-03-11,GOLDBLN,2188.66,2174.5,2179.6,2184.65
2024-03-12,GOLDBLN,2184.59,2152.43,2175.35,2163.1
2024-03-13,GOLDBLN,2174.39,2154.99,2159.4,2170.85
2024-03-14,GOLDBLN,2176.89,2152.61,2168.7,2158.4
2024-03-15,GOLDBLN,2172.49,2155.6,2168.95,2162.05
2024-03-16,GOLDBLN,2172.49,2155.6,2168.95,2162.05
2024-03-17,GOLDBLN,2172.49,2155.6,2168.95,2162.05
2024-03-18,GOLDBLN,2163.39,2145.7,2148.15,2156.45
2024-03-19,GOLDBLN,2162.69,2146.4,2156.8,2154.14
2024-03-20,GOLDBLN,2164.69,2149.4,2157.05,2157.2
2024-03-21,GOLDBLN,2222.39,2166.29,2207.2,2176.85
2024-03-22,GOLDBLN,2185.99,2162.36,2170.2,2166.41
2024-03-23,GOLDBLN,2185.99,2162.36,2170.2,2166.41
2024-03-24,GOLDBLN,2185.99,2162.36,2170.2,2166.41
2024-03-25,GOLDBLN,2181.09,2163.2,2165.45,2176.36
2024-03-26,GOLDBLN,2199.89,2167.49,2171.57,2176.22
2024-03-27,GOLDBLN,2197.45,2173.39,2177.75,2190.84
2024-03-28,GOLDBLN,2216.89,2187.06,2198.8,2214.3
2024-03-29,GOLDBLN,2216.89,2187.06,2198.8,2214.3
2024-03-30,GOLDBLN,2216.89,2187.06,2198.8,2214.3
2024-03-31,GOLDBLN,2216.89,2187.06,2198.8,2214.3
2024-04-01,GOLDBLN,2265.49,2228.29,2262.24,2235.12
2024-04-02,GOLDBLN,2276.89,2246.47,2253.51,2258.93
2024-04-03,GOLDBLN,2288.09,2265.1,2285.93,2282.97
2024-04-04,GOLDBLN,2304.09,2282.63,2295.4,2292.47
2024-04-05,GOLDBLN,2324.59,2267.6,2279.74,2323.04
2024-04-06,GOLDBLN,2324.59,2267.6,2279.74,2323.04
2024-04-07,GOLDBLN,2324.59,2267.6,2279.74,2323.04
2024-04-08,GOLDBLN,2353.79,2302.51,2334.55,2330.31
2024-04-09,GOLDBLN,2365.09,2336.58,2345.14,2346.17
2024-04-10,GOLDBLN,2359.89,2319.29,2357.58,2332.05
2024-04-11,GOLDBLN,2347.09,2325.59,2341.56,2339.12
2024-04-12,GOLDBLN,2431.29,2370.59,2388.25,2412.97
2024-04-13,GOLDBLN,2431.29,2370.59,2388.25,2412.97
2024-04-14,GOLDBLN,2431.29,2370.59,2388.25,2412.97
2024-04-15,GOLDBLN,2371.99,2324.29,2361.35,2346.2
2024-04-16,GOLDBLN,2392.89,2362.6,2386.69,2386.23
2024-04-17,GOLDBLN,2395.39,2372.59,2377.32,2390.15
2024-04-18,GOLDBLN,2392.69,2360.37,2376.9,2381.02
2024-04-19,GOLDBLN,2417.59,2372.81,2381.38,2394.05
2024-04-20,GOLDBLN,2417.59,2372.81,2381.38,2394.05
2024-04-21,GOLDBLN,2417.59,2372.81,2381.38,2394.05
2024-04-22,GOLDBLN,2388.13,2331.19,2365.33,2336.49
2024-04-23,GOLDBLN,2334.29,2291.19,2308.47,2319.17
2024-04-24,GOLDBLN,2336.9,2311.69,2329.0,2332.07
2024-04-25,GOLDBLN,2344.59,2304.97,2319.92,2334.59
